Material Typ;Material Typ;Kategorie;UUID;Name;MaterialTemplatesID;Bezugsgröße;Bezugseinheit;Dichte [kg/m3];Flächendichte [kg/m2];Längengewicht [kg/m];Umrechnungsfaktor auf 1kg;Wärmeleitfähigkeit [W/m*K];spez. Wärmekapazität [kJ/kg*K];EPD Modul;GWP;ODP;POCP;AP;EP;PENRT;PENRM;PENRE;PERT;PERM;PERE;ADPE;ADPF;costs;WDVS;weblink oekobaudat;weblink erw. Stoffeigen;weblink Kosten
Beschichtungen;Beschichtungen;Reaktionsharze;115c1a3a-dddd-4507-9df4-c14a0299b422;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Mörtel;;1;kg;;;;1;;;A5;0.175;2.47E-12;0.000717;2.42E-05;4.59E-06;0.0714;;;0.00942;;;2.83E-09;0.0577;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=115c1a3a-dddd-4507-9df4-c14a0299b422;;
Beschichtungen;Beschichtungen;Reaktionsharze;115c1a3a-dddd-4507-9df4-c14a0299b422;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Mörtel;;1;kg;;;;1;;;D;-0.267;-3.09E-11;-0.000106;-0.000801;-7.10E-05;-3.4;;;-0.204;;;-1.65E-05;-3.16;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=115c1a3a-dddd-4507-9df4-c14a0299b422;;
Beschichtungen;Beschichtungen;Reaktionsharze;84a414c3-9d2b-48fc-824d-6270cabc2f03;Abdichtungen im Verbund auf Basis von Methacrylatharzen, ungefüllt oder niedrig gefüllt;;1;kg;;;;1;;;A1 - A3;4.17;5.59E-10;0.00431;0.0142;0.000959;113;25.2;87.8;3.36;0;3.36;2.02E-05;110;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=84a414c3-9d2b-48fc-824d-6270cabc2f03;;
Beschichtungen;Beschichtungen;Reaktionsharze;84a414c3-9d2b-48fc-824d-6270cabc2f03;Abdichtungen im Verbund auf Basis von Methacrylatharzen, ungefüllt oder niedrig gefüllt;;1;kg;;;;1;;;A4;0.0275;5.73E-13;-7.58E-05;0.00018;4.49E-05;0.376;;;0.0223;;;1.27E-09;0.375;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=84a414c3-9d2b-48fc-824d-6270cabc2f03;;
Beschichtungen;Beschichtungen;Reaktionsharze;84a414c3-9d2b-48fc-824d-6270cabc2f03;Abdichtungen im Verbund auf Basis von Methacrylatharzen, ungefüllt oder niedrig gefüllt;;1;kg;;;;1;;;A5;0.175;2.47E-12;0.00771;2.42E-05;4.59E-06;0.0714;;;0.00942;;;2.83E-09;0.0577;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=84a414c3-9d2b-48fc-824d-6270cabc2f03;;
Beschichtungen;Beschichtungen;Reaktionsharze;84a414c3-9d2b-48fc-824d-6270cabc2f03;Abdichtungen im Verbund auf Basis von Methacrylatharzen, ungefüllt oder niedrig gefüllt;;1;kg;;;;1;;;D;-0.267;-3.09E-11;-0.000106;-0.000801;-7.10E-05;-3.4;;;-0.204;;;-1.65E-05;-3.16;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=84a414c3-9d2b-48fc-824d-6270cabc2f03;;
Beschichtungen;Beschichtungen;Reaktionsharze;ee702308-1049-405a-af11-19ff79707425;"Abdichtungen im Verbund auf Polyurethanbasis; lösemittelhaltig, Lösemittelgehalt kleiner 10%";;1;kg;;;;1;;;A1 - A3;4.34;3.26E-08;0.00241;0.0155;0.00222;85.1;15;70.1;4.27;0;4.27;2.38E-05;83.5;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ee702308-1049-405a-af11-19ff79707425;;
Beschichtungen;Beschichtungen;Reaktionsharze;ee702308-1049-405a-af11-19ff79707425;"Abdichtungen im Verbund auf Polyurethanbasis; lösemittelhaltig, Lösemittelgehalt kleiner 10%";;1;kg;;;;1;;;A4;0.0258;1.38E-12;-7.03E-05;0.000164;4.06E-05;0.356;;;0.0142;;;1.18E-09;0.356;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ee702308-1049-405a-af11-19ff79707425;;
Beschichtungen;Beschichtungen;Reaktionsharze;ee702308-1049-405a-af11-19ff79707425;"Abdichtungen im Verbund auf Polyurethanbasis; lösemittelhaltig, Lösemittelgehalt kleiner 10%";;1;kg;;;;1;;;A5;0.125;4.50E-12;0.015;1.45E-05;2.94E-06;0.0296;;;0.00219;;;1.82E-09;0.0296;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ee702308-1049-405a-af11-19ff79707425;;
Beschichtungen;Beschichtungen;Reaktionsharze;ee702308-1049-405a-af11-19ff79707425;"Abdichtungen im Verbund auf Polyurethanbasis; lösemittelhaltig, Lösemittelgehalt kleiner 10%";;1;kg;;;;1;;;D;-0.125;-1.34E-10;-4.39E-05;-0.000315;-2.77E-05;-1.66;;;-0.0674;;;-6.35E-09;-1.66;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ee702308-1049-405a-af11-19ff79707425;;
